movie_idx,movie_title,movie_year,movie_genre,movie_rating
0,Eden,2014,['Drama'],0.5
1,"Intruder, The",1962,['Drama'],3.921239561324077
2,The Two Policemen,1984,['Comedy'],3.2119768016904193
3,Berserk: The Golden Age Arc - The Egg of the King,2012,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Horror']",3.1510404397330194
4,Mission to Mir,1997,"['Documentary', 'IMAX']",2.8613933236574747
5,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse)",1933,"['Crime', 'Horror', 'Mystery', 'Thriller']",3.064591727653976
6,Dragonball Evolution,2009,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",3.8349303318130468
7,Rebecca,1940,"['Drama', 'Mystery', 'Romance', 'Thriller']",3.3664840675873777
8,Thirst (a.k.a. Three Strange Loves) (Törst),1949,['Drama'],3.142049469964664
9,#chicagoGirl: The Social Network Takes on a Dictator,2013,['Documentary'],3.0049242424242424
10,Hannie Caulder,1971,"['Comedy', 'Crime', 'Drama', 'Western']",3.430029305292191
11,Madagascar,2011,['Documentary'],3.667712806959586
12,Stagecoach,1966,['Western'],2.6197659297789335
13,For a Lost Soldier (Voor een Verloren Soldaat),1992,['Romance'],3.272416153319644
14,Best of the Best 2,1993,['Action'],3.432082364662903
15,Summer Stock,1950,"['Comedy', 'Musical', 'Romance']",2.7219931271477664
16,"Exercice de l'État, L'",2011,['Drama'],3.7874554444061173
17,Pray the Devil Back to Hell,2008,['Documentary'],3.9685730875308463
18,"Fog, The",1980,['Horror'],3.3736305977320775
19,"Thaw, The",2009,"['Horror', 'Sci-Fi', 'Thriller']",2.6074123603018435
20,"Leopard, The (Gattopardo, Il)",1963,"['Drama', 'War']",2.8807541625857005
21,Longtime Companion,1990,['Drama'],3.581688505556477
22,What A Man,2011,"['Comedy', 'Romance']",3.319399677679291
23,"Excuse Me Darling, But Lucas Loved Me",1997,['Comedy'],3.1482352941176472
24,"Draughtsman's Contract, The",1982,['Drama'],3.199849454271735
25,Bush's Brain,2004,['Documentary'],3.689509581032803
